"filename", "language", "Dart", "XML", "Groovy", "Markdown", "YAML", "Properties", "Swift", "C++", "JSON", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/country_repository_provider.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/statistics_service_provider.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/world_data_provider.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/repositories/country_repository.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 33
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/services/statistics_service.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 81
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/components/coronavirus_pie_chart.dart", "Dart", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 147
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/components/error_body.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/components/unexpected_error.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/current_view.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/home_view.dart/components/country_card.dart", "Dart", 424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 434
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/home_view.dart/components/home_view_header.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/home_view.dart/components/state_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/home_view.dart/components/world_card.dart", "Dart", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 151
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/home_view.dart/home_view.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 72
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/information_view/information_view.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/news_view/news_view.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/pubspec.yaml", "YAML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 52, 18, 98
"Total", "-", 1459, 212, 79, 13, 28, 8, 12, 1, 145, 111, 200, 2268
