Date : 2021-08-25 22:31:33
Directory : /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator
Total : 50 files,  1957 codes, 111 comments, 200 blanks, all 2268 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         25 |      1,459 |          4 |        131 |      1,594 |
| XML        |         13 |        212 |         51 |         15 |        278 |
| JSON       |          2 |        145 |          0 |          2 |        147 |
| Groovy     |          3 |         79 |          3 |         20 |        102 |
| YAML       |          1 |         28 |         52 |         18 |         98 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |         50 |      1,957 |        111 |        200 |      2,268 |
| android                                                                                                                                                |         12 |        151 |         53 |         31 |        235 |
| android/app                                                                                                                                            |          8 |        110 |         52 |         20 |        182 |
| android/app/src                                                                                                                                        |          7 |         64 |         49 |          9 |        122 |
| android/app/src/debug                                                                                                                                  |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                                                   |          5 |         56 |         43 |          7 |        106 |
| android/app/src/main/res                                                                                                                               |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                                      |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                                |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                                                         |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                                    |         11 |        309 |          2 |         13 |        324 |
| ios/Flutter                                                                                                                                            |          1 |         26 |          0 |          1 |         27 |
| ios/Runner                                                                                                                                             |          8 |        267 |          2 |         10 |        279 |
| ios/Runner.xcodeproj                                                                                                                                   |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace                                                                                                               |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcodeproj/project.xcworkspace/xcshareddata                                                                                                  |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace                                                                                                                                 |          1 |          8 |          0 |          1 |          9 |
| ios/Runner.xcworkspace/xcshareddata                                                                                                                    |          1 |          8 |          0 |          1 |          9 |
| ios/Runner/Assets.xcassets                                                                                                                             |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                          |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                        |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                                  |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                    |         25 |      1,459 |          4 |        131 |      1,594 |
| lib/src                                                                                                                                                |         24 |      1,431 |          3 |        126 |      1,560 |
| lib/src/config                                                                                                                                         |          3 |         96 |          0 |         10 |        106 |
| lib/src/models                                                                                                                                         |          3 |        300 |          0 |         26 |        326 |
| lib/src/providers                                                                                                                                      |          5 |         36 |          0 |         10 |         46 |
| lib/src/repositories                                                                                                                                   |          1 |         21 |          2 |         10 |         33 |
| lib/src/services                                                                                                                                       |          1 |         62 |          1 |         18 |         81 |
| lib/src/ui                                                                                                                                             |         11 |        916 |          0 |         52 |        968 |
| lib/src/ui/components                                                                                                                                  |          3 |        206 |          0 |          9 |        215 |
| lib/src/ui/views                                                                                                                                       |          8 |        710 |          0 |         43 |        753 |
| lib/src/ui/views/home_view.dart                                                                                                                        |          5 |        646 |          0 |         28 |        674 |
| lib/src/ui/views/home_view.dart/components                                                                                                             |          4 |        580 |          0 |         22 |        602 |
| lib/src/ui/views/information_view                                                                                                                      |          1 |          8 |          0 |          3 |         11 |
| lib/src/ui/views/news_view                                                                                                                             |          1 |         12 |          0 |          4 |         16 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/README.md                                                                      | Markdown   |         10 |          0 |          7 |         17 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/build.gradle                                                       | Groovy     |         46 |          3 |         11 |         60 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/debug/AndroidManifest.xml                                      | XML        |          4 |          3 |          1 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/AndroidManifest.xml                                       | XML        |         30 |         11 |          1 |         42 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/drawable-v21/launch_background.xml                    | XML        |          4 |          7 |          2 |         13 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/drawable/launch_background.xml                        | XML        |          4 |          7 |          2 |         13 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/values-night/styles.xml                               | XML        |          9 |          9 |          1 |         19 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/values/styles.xml                                     | XML        |          9 |          9 |          1 |         19 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/profile/AndroidManifest.xml                                    | XML        |          4 |          3 |          1 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/build.gradle                                                           | Groovy     |         25 |          0 |          5 |         30 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/gradle.properties                                                      | Properties |          3 |          0 |          1 |          4 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/gradle/wrapper/gradle-wrapper.properties                               | Properties |          5 |          1 |          1 |          7 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/settings.gradle                                                        | Groovy     |          8 |          0 |          4 |         12 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Flutter/AppFrameworkInfo.plist                                             | XML        |         26 |          0 |          1 |         27 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist | XML        |          8 |          0 |          1 |          9 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist                   | XML        |          8 |          0 |          1 |          9 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/AppDelegate.swift                                                   | Swift      |         12 |          0 |          2 |         14 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                    | JSON       |        122 |          0 |          1 |        123 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                  | JSON       |         23 |          0 |          1 |         24 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                      | Markdown   |          3 |          0 |          2 |          5 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Base.lproj/LaunchScreen.storyboard                                  | XML        |         36 |          1 |          1 |         38 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Base.lproj/Main.storyboard                                          | XML        |         25 |          1 |          1 |         27 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Info.plist                                                          | XML        |         45 |          0 |          1 |         46 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/ios/Runner/Runner-Bridging-Header.h                                            | C++        |          1 |          0 |          1 |          2 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/main.dart                                                                  | Dart       |         28 |          1 |          5 |         34 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/config/bottom_navigation_bar.dart                                      | Dart       |         50 |          0 |          4 |         54 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/config/constants.dart                                                  | Dart       |          1 |          0 |          1 |          2 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/config/exceptions.dart                                                 | Dart       |         45 |          0 |          5 |         50 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/models/country_data.dart                                               | Dart       |        171 |          0 |         13 |        184 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/models/state_data.dart                                                 | Dart       |          0 |          0 |          1 |          1 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/models/world_data.dart                                                 | Dart       |        129 |          0 |         12 |        141 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/all_country_data_provider.dart                               | Dart       |          8 |          0 |          2 |         10 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/country_data_provider.dart                                   | Dart       |          9 |          0 |          2 |         11 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/country_repository_provider.dart                             | Dart       |          6 |          0 |          2 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/statistics_service_provider.dart                             | Dart       |          6 |          0 |          2 |          8 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/providers/world_data_provider.dart                                     | Dart       |          7 |          0 |          2 |          9 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/repositories/country_repository.dart                                   | Dart       |         21 |          2 |         10 |         33 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/services/statistics_service.dart                                       | Dart       |         62 |          1 |         18 |         81 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/components/coronavirus_pie_chart.dart                               | Dart       |        143 |          0 |          4 |        147 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/components/error_body.dart                                          | Dart       |         33 |          0 |          3 |         36 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/components/unexpected_error.dart                                    | Dart       |         30 |          0 |          2 |         32 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/current_view.dart                                             | Dart       |         44 |          0 |          8 |         52 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/home_view.dart/components/country_card.dart                   | Dart       |        424 |          0 |         10 |        434 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/home_view.dart/components/home_view_header.dart               | Dart       |         13 |          0 |          3 |         16 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/home_view.dart/components/state_card.dart                     | Dart       |          0 |          0 |          1 |          1 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/home_view.dart/components/world_card.dart                     | Dart       |        143 |          0 |          8 |        151 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/home_view.dart/home_view.dart                                 | Dart       |         66 |          0 |          6 |         72 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/information_view/information_view.dart                        | Dart       |          8 |          0 |          3 |         11 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/lib/src/ui/views/news_view/news_view.dart                                      | Dart       |         12 |          0 |          4 |         16 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/pubspec.yaml                                                                   | YAML       |         28 |         52 |         18 |         98 |
| Total                                                                                                                                                  |            |      1,957 |        111 |        200 |      2,268 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
