"filename", "language", "YAML", "Dart", "Markdown", "JSON", "Groovy", "Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/.github/ISSUE_TEMPLATE/bug_report.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 9, 39
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/CODE_OF_CONDUCT.md", "Markdown", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 36, 129
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/README.md", "Markdown", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 18, 74
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 49, 0, 0, 0, 0, 3, 11, 63
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/google-services.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 46
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 1, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 11, 1, 35
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/drawable-night-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/drawable-night/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 9, 0, 19
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 9, 0, 19
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 1, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/build.gradle", "Groovy", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
