"filename", "language", "YAML", "Markdown", "Dart", "Properties", "Groovy", "C++", "Swift", "XML", "JSON", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/.github/ISSUE_TEMPLATE/bug_report.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/.vscodecounter/2021-09-09_22-52-17/details.md", "Markdown", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 6, 107
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/.vscodecounter/2021-09-09_22-52-17/results.md", "Markdown", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 7, 82
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/.vscodecounter/2021-09-10_22-08-43/details.md", "Markdown", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 6, 136
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/.vscodecounter/2021-09-10_22-08-43/results.md", "Markdown", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 7, 86
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/CODE_OF_CONDUCT.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/README.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 26, 138
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 11, 64
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 46
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 7
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 11, 1, 35
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/drawable-night-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/corona_spectator/android/app/src/main/res/drawable-night/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
